,demand series,natgas capacity,solar series,solar capacity,wind series,wind capacity,storage capacity,to_PGP capacity,PGP_storage capacity,from_PGP capacity,status,name,date,region,n_years,opt_years,test_years,end_test_year,scale_factor,syst_cost,curtailed_gen,lost_load,max_lost_load,decarbonization,co2_intensity
1103,300386.00776255707,0,0.2665236620306841,337701.55242333777,0.28209007728539764,1065986.1042666542,162256.26269725466,61584.47614648642,134328388.43147293,250386.75575703135,optimal,nYrs_20210220_SWBPGP_iter00172,Jan29v1,CONUS,1,01,-1,-1,-1,40517.4581239623,65240.54867582763,0.0,0.0,1.0,0.0
1139,300386.00776255707,0,0.2665236620306841,337701.55242333777,0.28209007728539764,1065986.1042666542,162256.26269725466,61584.47614648642,134328388.43147293,250386.75575703135,optimal,nYrs_20210220_SWBPGP_iter00199,Jan29v1,CONUS,1,01,-1,-1,-1,40517.4581239623,65240.54867582763,0.0,0.0,1.0,0.0
1140,300386.00776255707,0,0.2665236620306841,337701.55242333777,0.28209007728539764,1065986.1042666542,162256.26269725466,61584.47614648642,134328388.43147293,250386.75575703135,optimal,nYrs_20210220_SWBPGP_iter00047,Jan29v1,CONUS,1,01,-1,-1,-1,40517.4581239623,65240.54867582763,0.0,0.0,1.0,0.0
1148,300386.00776255707,0,0.2665236620306841,337701.55242333777,0.28209007728539764,1065986.1042666542,162256.26269725466,61584.47614648642,134328388.43147293,250386.75575703135,optimal,nYrs_20210220_SWBPGP_iter00347,Jan29v1,CONUS,1,01,-1,-1,-1,40517.4581239623,65240.54867582763,0.0,0.0,1.0,0.0
1234,300386.00776255707,0,0.2665236620306841,337701.55242333777,0.28209007728539764,1065986.1042666542,162256.26269725466,61584.47614648642,134328388.43147293,250386.75575703135,optimal,nYrs_20210220_SWBPGP_iter00170,Jan29v1,CONUS,1,01,-1,-1,-1,40517.4581239623,65240.54867582763,0.0,0.0,1.0,0.0
1320,300386.00776255707,0,0.2665236620306841,337701.55242333777,0.28209007728539764,1065986.1042666542,162256.26269725466,61584.47614648642,134328388.43147293,250386.75575703135,optimal,nYrs_20210220_SWBPGP_iter00098,Jan29v1,CONUS,1,01,-1,-1,-1,40517.4581239623,65240.54867582763,0.0,0.0,1.0,0.0
1373,300386.00776255707,0,0.2665236620306841,337701.55242333777,0.28209007728539764,1065986.1042666542,162256.26269725466,61584.47614648642,134328388.43147293,250386.75575703135,optimal,nYrs_20210220_SWBPGP_iter00235,Jan29v1,CONUS,1,01,-1,-1,-1,40517.4581239623,65240.54867582763,0.0,0.0,1.0,0.0
1073,306273.04497716896,0,0.2699333133065723,307684.5934248094,0.2919699785137299,1092998.523920083,102268.00679600945,67325.1353505932,157196667.50760162,268987.6661593281,optimal,nYrs_20210220_SWBPGP_iter00076,Jan29v1,CONUS,1,02,-1,-1,-1,41435.95971720063,69002.78339369081,0.0,0.0,1.0,0.0
1172,306273.04497716896,0,0.2699333133065723,307684.5934248094,0.2919699785137299,1092998.523920083,102268.00679600945,67325.1353505932,157196667.50760162,268987.6661593281,optimal,nYrs_20210220_SWBPGP_iter00096,Jan29v1,CONUS,1,02,-1,-1,-1,41435.95971720063,69002.78339369081,0.0,0.0,1.0,0.0
1178,306273.04497716896,0,0.2699333133065723,307684.5934248094,0.2919699785137299,1092998.523920083,102268.00679600945,67325.1353505932,157196667.50760162,268987.6661593281,optimal,nYrs_20210220_SWBPGP_iter00395,Jan29v1,CONUS,1,02,-1,-1,-1,41435.95971720063,69002.78339369081,0.0,0.0,1.0,0.0
1196,306273.04497716896,0,0.2699333133065723,307684.5934248094,0.2919699785137299,1092998.523920083,102268.00679600945,67325.1353505932,157196667.50760162,268987.6661593281,optimal,nYrs_20210220_SWBPGP_iter00276,Jan29v1,CONUS,1,02,-1,-1,-1,41435.95971720063,69002.78339369081,0.0,0.0,1.0,0.0
1207,306273.04497716896,0,0.2699333133065723,307684.5934248094,0.2919699785137299,1092998.523920083,102268.00679600945,67325.1353505932,157196667.50760162,268987.6661593281,optimal,nYrs_20210220_SWBPGP_iter00442,Jan29v1,CONUS,1,02,-1,-1,-1,41435.95971720063,69002.78339369081,0.0,0.0,1.0,0.0
1220,306273.04497716896,0,0.2699333133065723,307684.5934248094,0.2919699785137299,1092998.523920083,102268.00679600945,67325.1353505932,157196667.50760162,268987.6661593281,optimal,nYrs_20210220_SWBPGP_iter00369,Jan29v1,CONUS,1,02,-1,-1,-1,41435.95971720063,69002.78339369081,0.0,0.0,1.0,0.0
1224,306273.04497716896,0,0.2699333133065723,307684.5934248094,0.2919699785137299,1092998.523920083,102268.00679600945,67325.1353505932,157196667.50760162,268987.6661593281,optimal,nYrs_20210220_SWBPGP_iter00388,Jan29v1,CONUS,1,02,-1,-1,-1,41435.95971720063,69002.78339369081,0.0,0.0,1.0,0.0
1245,306273.04497716896,0,0.2699333133065723,307684.5934248094,0.2919699785137299,1092998.523920083,102268.00679600945,67325.1353505932,157196667.50760162,268987.6661593281,optimal,nYrs_20210220_SWBPGP_iter00238,Jan29v1,CONUS,1,02,-1,-1,-1,41435.95971720063,69002.78339369081,0.0,0.0,1.0,0.0
1278,306273.04497716896,0,0.2699333133065723,307684.5934248094,0.2919699785137299,1092998.523920083,102268.00679600945,67325.1353505932,157196667.50760162,268987.6661593281,optimal,nYrs_20210220_SWBPGP_iter00254,Jan29v1,CONUS,1,02,-1,-1,-1,41435.95971720063,69002.78339369081,0.0,0.0,1.0,0.0
1288,306273.04497716896,0,0.2699333133065723,307684.5934248094,0.2919699785137299,1092998.523920083,102268.00679600945,67325.1353505932,157196667.50760162,268987.6661593281,optimal,nYrs_20210220_SWBPGP_iter00350,Jan29v1,CONUS,1,02,-1,-1,-1,41435.95971720063,69002.78339369081,0.0,0.0,1.0,0.0
1305,306273.04497716896,0,0.2699333133065723,307684.5934248094,0.2919699785137299,1092998.523920083,102268.00679600945,67325.1353505932,157196667.50760162,268987.6661593281,optimal,nYrs_20210220_SWBPGP_iter00393,Jan29v1,CONUS,1,02,-1,-1,-1,41435.95971720063,69002.78339369081,0.0,0.0,1.0,0.0
1366,306273.04497716896,0,0.2699333133065723,307684.5934248094,0.2919699785137299,1092998.523920083,102268.00679600945,67325.1353505932,157196667.50760162,268987.6661593281,optimal,nYrs_20210220_SWBPGP_iter00299,Jan29v1,CONUS,1,02,-1,-1,-1,41435.95971720063,69002.78339369081,0.0,0.0,1.0,0.0
1370,306273.04497716896,0,0.2699333133065723,307684.5934248094,0.2919699785137299,1092998.523920083,102268.00679600945,67325.1353505932,157196667.50760162,268987.6661593281,optimal,nYrs_20210220_SWBPGP_iter00236,Jan29v1,CONUS,1,02,-1,-1,-1,41435.95971720063,69002.78339369081,0.0,0.0,1.0,0.0
1397,306273.04497716896,0,0.2699333133065723,307684.5934248094,0.2919699785137299,1092998.523920083,102268.00679600945,67325.1353505932,157196667.50760162,268987.6661593281,optimal,nYrs_20210220_SWBPGP_iter00016,Jan29v1,CONUS,1,02,-1,-1,-1,41435.95971720063,69002.78339369081,0.0,0.0,1.0,0.0
1404,306273.04497716896,0,0.2699333133065723,307684.5934248094,0.2919699785137299,1092998.523920083,102268.00679600945,67325.1353505932,157196667.50760162,268987.6661593281,optimal,nYrs_20210220_SWBPGP_iter00135,Jan29v1,CONUS,1,02,-1,-1,-1,41435.95971720063,69002.78339369081,0.0,0.0,1.0,0.0
1415,306273.04497716896,0,0.2699333133065723,307684.5934248094,0.2919699785137299,1092998.523920083,102268.00679600945,67325.1353505932,157196667.50760162,268987.6661593281,optimal,nYrs_20210220_SWBPGP_iter00434,Jan29v1,CONUS,1,02,-1,-1,-1,41435.95971720063,69002.78339369081,0.0,0.0,1.0,0.0
1499,306273.04497716896,0,0.2699333133065723,307684.5934248094,0.2919699785137299,1092998.523920083,102268.00679600945,67325.1353505932,157196667.50760162,268987.6661593281,optimal,nYrs_20210220_SWBPGP_iter00192,Jan29v1,CONUS,1,02,-1,-1,-1,41435.95971720063,69002.78339369081,0.0,0.0,1.0,0.0
1067,301020.0848173516,0,0.26609755344689456,392011.4776694524,0.2770270805637365,1021215.096178556,189374.15122906308,66369.31949513621,101833169.00747083,237036.1680096102,optimal,nYrs_20210220_SWBPGP_iter00024,Jan29v1,CONUS,1,03,-1,-1,-1,40068.09219359241,60006.74292870434,0.0,0.0,1.0,0.0
1111,301020.0848173516,0,0.26609755344689456,392011.4776694524,0.2770270805637365,1021215.096178556,189374.15122906308,66369.31949513621,101833169.00747083,237036.1680096102,optimal,nYrs_20210220_SWBPGP_iter00422,Jan29v1,CONUS,1,03,-1,-1,-1,40068.09219359241,60006.74292870434,0.0,0.0,1.0,0.0
1113,301020.0848173516,0,0.26609755344689456,392011.4776694524,0.2770270805637365,1021215.096178556,189374.15122906308,66369.31949513621,101833169.00747083,237036.1680096102,optimal,nYrs_20210220_SWBPGP_iter00250,Jan29v1,CONUS,1,03,-1,-1,-1,40068.09219359241,60006.74292870434,0.0,0.0,1.0,0.0
1164,301020.0848173516,0,0.26609755344689456,392011.4776694524,0.2770270805637365,1021215.096178556,189374.15122906308,66369.31949513621,101833169.00747083,237036.1680096102,optimal,nYrs_20210220_SWBPGP_iter00041,Jan29v1,CONUS,1,03,-1,-1,-1,40068.09219359241,60006.74292870434,0.0,0.0,1.0,0.0
1179,301020.0848173516,0,0.26609755344689456,392011.4776694524,0.2770270805637365,1021215.096178556,189374.15122906308,66369.31949513621,101833169.00747083,237036.1680096102,optimal,nYrs_20210220_SWBPGP_iter00210,Jan29v1,CONUS,1,03,-1,-1,-1,40068.09219359241,60006.74292870434,0.0,0.0,1.0,0.0
1193,301020.0848173516,0,0.26609755344689456,392011.4776694524,0.2770270805637365,1021215.096178556,189374.15122906308,66369.31949513621,101833169.00747083,237036.1680096102,optimal,nYrs_20210220_SWBPGP_iter00000,Jan29v1,CONUS,1,03,-1,-1,-1,40068.09219359241,60006.74292870434,0.0,0.0,1.0,0.0
1211,301020.0848173516,0,0.26609755344689456,392011.4776694524,0.2770270805637365,1021215.096178556,189374.15122906308,66369.31949513621,101833169.00747083,237036.1680096102,optimal,nYrs_20210220_SWBPGP_iter00344,Jan29v1,CONUS,1,03,-1,-1,-1,40068.09219359241,60006.74292870434,0.0,0.0,1.0,0.0
1385,301020.0848173516,0,0.26609755344689456,392011.4776694524,0.2770270805637365,1021215.096178556,189374.15122906308,66369.31949513621,101833169.00747083,237036.1680096102,optimal,nYrs_20210220_SWBPGP_iter00025,Jan29v1,CONUS,1,03,-1,-1,-1,40068.09219359241,60006.74292870434,0.0,0.0,1.0,0.0
1393,301020.0848173516,0,0.26609755344689456,392011.4776694524,0.2770270805637365,1021215.096178556,189374.15122906308,66369.31949513621,101833169.00747083,237036.1680096102,optimal,nYrs_20210220_SWBPGP_iter00202,Jan29v1,CONUS,1,03,-1,-1,-1,40068.09219359241,60006.74292870434,0.0,0.0,1.0,0.0
1414,301020.0848173516,0,0.26609755344689456,392011.4776694524,0.2770270805637365,1021215.096178556,189374.15122906308,66369.31949513621,101833169.00747083,237036.1680096102,optimal,nYrs_20210220_SWBPGP_iter00110,Jan29v1,CONUS,1,03,-1,-1,-1,40068.09219359241,60006.74292870434,0.0,0.0,1.0,0.0
1468,301020.0848173516,0,0.26609755344689456,392011.4776694524,0.2770270805637365,1021215.096178556,189374.15122906308,66369.31949513621,101833169.00747083,237036.1680096102,optimal,nYrs_20210220_SWBPGP_iter00436,Jan29v1,CONUS,1,03,-1,-1,-1,40068.09219359241,60006.74292870434,0.0,0.0,1.0,0.0
1006,298534.8805783242,0,0.2630067437968984,242751.3625878404,0.2837104588029233,1182800.6901504316,251120.2604084942,55600.59533293167,159490651.32359397,205816.4495876575,optimal,nYrs_20210220_SWBPGP_iter00340,Jan29v1,CONUS,1,04,-1,-1,-1,38915.373829249125,77391.7211260795,0.0,0.0,1.0,0.0
1038,298534.8805783242,0,0.2630067437968984,242751.3625878404,0.2837104588029233,1182800.6901504316,251120.2604084942,55600.59533293167,159490651.32359397,205816.4495876575,optimal,nYrs_20210220_SWBPGP_iter00376,Jan29v1,CONUS,1,04,-1,-1,-1,38915.373829249125,77391.7211260795,0.0,0.0,1.0,0.0
1122,298534.8805783242,0,0.2630067437968984,242751.3625878404,0.2837104588029233,1182800.6901504316,251120.2604084942,55600.59533293167,159490651.32359397,205816.4495876575,optimal,nYrs_20210220_SWBPGP_iter00227,Jan29v1,CONUS,1,04,-1,-1,-1,38915.373829249125,77391.7211260795,0.0,0.0,1.0,0.0
1127,298534.8805783242,0,0.2630067437968984,242751.3625878404,0.2837104588029233,1182800.6901504316,251120.2604084942,55600.59533293167,159490651.32359397,205816.4495876575,optimal,nYrs_20210220_SWBPGP_iter00301,Jan29v1,CONUS,1,04,-1,-1,-1,38915.373829249125,77391.7211260795,0.0,0.0,1.0,0.0
1210,298534.8805783242,0,0.2630067437968984,242751.3625878404,0.2837104588029233,1182800.6901504316,251120.2604084942,55600.59533293167,159490651.32359397,205816.4495876575,optimal,nYrs_20210220_SWBPGP_iter00152,Jan29v1,CONUS,1,04,-1,-1,-1,38915.373829249125,77391.7211260795,0.0,0.0,1.0,0.0
1213,298534.8805783242,0,0.2630067437968984,242751.3625878404,0.2837104588029233,1182800.6901504316,251120.2604084942,55600.59533293167,159490651.32359397,205816.4495876575,optimal,nYrs_20210220_SWBPGP_iter00148,Jan29v1,CONUS,1,04,-1,-1,-1,38915.373829249125,77391.7211260795,0.0,0.0,1.0,0.0
1238,298534.8805783242,0,0.2630067437968984,242751.3625878404,0.2837104588029233,1182800.6901504316,251120.2604084942,55600.59533293167,159490651.32359397,205816.4495876575,optimal,nYrs_20210220_SWBPGP_iter00088,Jan29v1,CONUS,1,04,-1,-1,-1,38915.373829249125,77391.7211260795,0.0,0.0,1.0,0.0
1239,298534.8805783242,0,0.2630067437968984,242751.3625878404,0.2837104588029233,1182800.6901504316,251120.2604084942,55600.59533293167,159490651.32359397,205816.4495876575,optimal,nYrs_20210220_SWBPGP_iter00398,Jan29v1,CONUS,1,04,-1,-1,-1,38915.373829249125,77391.7211260795,0.0,0.0,1.0,0.0
1275,298534.8805783242,0,0.2630067437968984,242751.3625878404,0.2837104588029233,1182800.6901504316,251120.2604084942,55600.59533293167,159490651.32359397,205816.4495876575,optimal,nYrs_20210220_SWBPGP_iter00265,Jan29v1,CONUS,1,04,-1,-1,-1,38915.373829249125,77391.7211260795,0.0,0.0,1.0,0.0
1319,298534.8805783242,0,0.2630067437968984,242751.3625878404,0.2837104588029233,1182800.6901504316,251120.2604084942,55600.59533293167,159490651.32359397,205816.4495876575,optimal,nYrs_20210220_SWBPGP_iter00204,Jan29v1,CONUS,1,04,-1,-1,-1,38915.373829249125,77391.7211260795,0.0,0.0,1.0,0.0
1381,298534.8805783242,0,0.2630067437968984,242751.3625878404,0.2837104588029233,1182800.6901504316,251120.2604084942,55600.59533293167,159490651.32359397,205816.4495876575,optimal,nYrs_20210220_SWBPGP_iter00212,Jan29v1,CONUS,1,04,-1,-1,-1,38915.373829249125,77391.7211260795,0.0,0.0,1.0,0.0
1429,298534.8805783242,0,0.2630067437968984,242751.3625878404,0.2837104588029233,1182800.6901504316,251120.2604084942,55600.59533293167,159490651.32359397,205816.4495876575,optimal,nYrs_20210220_SWBPGP_iter00099,Jan29v1,CONUS,1,04,-1,-1,-1,38915.373829249125,77391.7211260795,0.0,0.0,1.0,0.0
1449,298534.8805783242,0,0.2630067437968984,242751.3625878404,0.2837104588029233,1182800.6901504316,251120.2604084942,55600.59533293167,159490651.32359397,205816.4495876575,optimal,nYrs_20210220_SWBPGP_iter00159,Jan29v1,CONUS,1,04,-1,-1,-1,38915.373829249125,77391.7211260795,0.0,0.0,1.0,0.0
1471,298534.8805783242,0,0.2630067437968984,242751.3625878404,0.2837104588029233,1182800.6901504316,251120.2604084942,55600.59533293167,159490651.32359397,205816.4495876575,optimal,nYrs_20210220_SWBPGP_iter00480,Jan29v1,CONUS,1,04,-1,-1,-1,38915.373829249125,77391.7211260795,0.0,0.0,1.0,0.0
1497,298534.8805783242,0,0.2630067437968984,242751.3625878404,0.2837104588029233,1182800.6901504316,251120.2604084942,55600.59533293167,159490651.32359397,205816.4495876575,optimal,nYrs_20210220_SWBPGP_iter00439,Jan29v1,CONUS,1,04,-1,-1,-1,38915.373829249125,77391.7211260795,0.0,0.0,1.0,0.0
1045,306573.67842465756,0,0.263908294234211,359419.53888930904,0.2778754068242968,1097424.966935531,265572.74183853343,73759.70512868302,127364402.47107048,220174.1874927485,optimal,nYrs_20210220_SWBPGP_iter00044,Jan29v1,CONUS,1,05,-1,-1,-1,40730.34409165959,64535.112840755995,0.0,0.0,1.0,0.0
1058,306573.67842465756,0,0.263908294234211,359419.53888930904,0.2778754068242968,1097424.966935531,265572.74183853343,73759.70512868302,127364402.47107048,220174.1874927485,optimal,nYrs_20210220_SWBPGP_iter00406,Jan29v1,CONUS,1,05,-1,-1,-1,40730.34409165959,64535.112840755995,0.0,0.0,1.0,0.0
1121,306573.67842465756,0,0.263908294234211,359419.53888930904,0.2778754068242968,1097424.966935531,265572.74183853343,73759.70512868302,127364402.47107048,220174.1874927485,optimal,nYrs_20210220_SWBPGP_iter00447,Jan29v1,CONUS,1,05,-1,-1,-1,40730.34409165959,64535.112840755995,0.0,0.0,1.0,0.0
1137,306573.67842465756,0,0.263908294234211,359419.53888930904,0.2778754068242968,1097424.966935531,265572.74183853343,73759.70512868302,127364402.47107048,220174.1874927485,optimal,nYrs_20210220_SWBPGP_iter00092,Jan29v1,CONUS,1,05,-1,-1,-1,40730.34409165959,64535.112840755995,0.0,0.0,1.0,0.0
1171,306573.67842465756,0,0.263908294234211,359419.53888930904,0.2778754068242968,1097424.966935531,265572.74183853343,73759.70512868302,127364402.47107048,220174.1874927485,optimal,nYrs_20210220_SWBPGP_iter00479,Jan29v1,CONUS,1,05,-1,-1,-1,40730.34409165959,64535.112840755995,0.0,0.0,1.0,0.0
1176,306573.67842465756,0,0.263908294234211,359419.53888930904,0.2778754068242968,1097424.966935531,265572.74183853343,73759.70512868302,127364402.47107048,220174.1874927485,optimal,nYrs_20210220_SWBPGP_iter00322,Jan29v1,CONUS,1,05,-1,-1,-1,40730.34409165959,64535.112840755995,0.0,0.0,1.0,0.0
1226,306573.67842465756,0,0.263908294234211,359419.53888930904,0.2778754068242968,1097424.966935531,265572.74183853343,73759.70512868302,127364402.47107048,220174.1874927485,optimal,nYrs_20210220_SWBPGP_iter00248,Jan29v1,CONUS,1,05,-1,-1,-1,40730.34409165959,64535.112840755995,0.0,0.0,1.0,0.0
1292,306573.67842465756,0,0.263908294234211,359419.53888930904,0.2778754068242968,1097424.966935531,265572.74183853343,73759.70512868302,127364402.47107048,220174.1874927485,optimal,nYrs_20210220_SWBPGP_iter00349,Jan29v1,CONUS,1,05,-1,-1,-1,40730.34409165959,64535.112840755995,0.0,0.0,1.0,0.0
1303,306573.67842465756,0,0.263908294234211,359419.53888930904,0.2778754068242968,1097424.966935531,265572.74183853343,73759.70512868302,127364402.47107048,220174.1874927485,optimal,nYrs_20210220_SWBPGP_iter00065,Jan29v1,CONUS,1,05,-1,-1,-1,40730.34409165959,64535.112840755995,0.0,0.0,1.0,0.0
1330,306573.67842465756,0,0.263908294234211,359419.53888930904,0.2778754068242968,1097424.966935531,265572.74183853343,73759.70512868302,127364402.47107048,220174.1874927485,optimal,nYrs_20210220_SWBPGP_iter00244,Jan29v1,CONUS,1,05,-1,-1,-1,40730.34409165959,64535.112840755995,0.0,0.0,1.0,0.0
1382,306573.67842465756,0,0.263908294234211,359419.53888930904,0.2778754068242968,1097424.966935531,265572.74183853343,73759.70512868302,127364402.47107048,220174.1874927485,optimal,nYrs_20210220_SWBPGP_iter00425,Jan29v1,CONUS,1,05,-1,-1,-1,40730.34409165959,64535.112840755995,0.0,0.0,1.0,0.0
1438,306573.67842465756,0,0.263908294234211,359419.53888930904,0.2778754068242968,1097424.966935531,265572.74183853343,73759.70512868302,127364402.47107048,220174.1874927485,optimal,nYrs_20210220_SWBPGP_iter00151,Jan29v1,CONUS,1,05,-1,-1,-1,40730.34409165959,64535.112840755995,0.0,0.0,1.0,0.0
1463,306573.67842465756,0,0.263908294234211,359419.53888930904,0.2778754068242968,1097424.966935531,265572.74183853343,73759.70512868302,127364402.47107048,220174.1874927485,optimal,nYrs_20210220_SWBPGP_iter00315,Jan29v1,CONUS,1,05,-1,-1,-1,40730.34409165959,64535.112840755995,0.0,0.0,1.0,0.0
1484,306573.67842465756,0,0.263908294234211,359419.53888930904,0.2778754068242968,1097424.966935531,265572.74183853343,73759.70512868302,127364402.47107048,220174.1874927485,optimal,nYrs_20210220_SWBPGP_iter00279,Jan29v1,CONUS,1,05,-1,-1,-1,40730.34409165959,64535.112840755995,0.0,0.0,1.0,0.0
1486,306573.67842465756,0,0.263908294234211,359419.53888930904,0.2778754068242968,1097424.966935531,265572.74183853343,73759.70512868302,127364402.47107048,220174.1874927485,optimal,nYrs_20210220_SWBPGP_iter00132,Jan29v1,CONUS,1,05,-1,-1,-1,40730.34409165959,64535.112840755995,0.0,0.0,1.0,0.0
1021,301608.11278538813,0,0.2662303199285058,398354.7993145135,0.29154296017985637,1004032.7785714335,236704.432236745,58672.46592566419,193300789.31696188,224598.5820410127,optimal,nYrs_20210220_SWBPGP_iter00414,Jan29v1,CONUS,1,06,-1,-1,-1,39582.57252240144,71444.15432670142,0.0,0.0,1.0,0.0
1203,301608.11278538813,0,0.2662303199285058,398354.7993145135,0.29154296017985637,1004032.7785714335,236704.432236745,58672.46592566419,193300789.31696188,224598.5820410127,optimal,nYrs_20210220_SWBPGP_iter00263,Jan29v1,CONUS,1,06,-1,-1,-1,39582.57252240144,71444.15432670142,0.0,0.0,1.0,0.0
1264,301608.11278538813,0,0.2662303199285058,398354.7993145135,0.29154296017985637,1004032.7785714335,236704.432236745,58672.46592566419,193300789.31696188,224598.5820410127,optimal,nYrs_20210220_SWBPGP_iter00261,Jan29v1,CONUS,1,06,-1,-1,-1,39582.57252240144,71444.15432670142,0.0,0.0,1.0,0.0
1314,301608.11278538813,0,0.2662303199285058,398354.7993145135,0.29154296017985637,1004032.7785714335,236704.432236745,58672.46592566419,193300789.31696188,224598.5820410127,optimal,nYrs_20210220_SWBPGP_iter00306,Jan29v1,CONUS,1,06,-1,-1,-1,39582.57252240144,71444.15432670142,0.0,0.0,1.0,0.0
1349,301608.11278538813,0,0.2662303199285058,398354.7993145135,0.29154296017985637,1004032.7785714335,236704.432236745,58672.46592566419,193300789.31696188,224598.5820410127,optimal,nYrs_20210220_SWBPGP_iter00145,Jan29v1,CONUS,1,06,-1,-1,-1,39582.57252240144,71444.15432670142,0.0,0.0,1.0,0.0
1422,301608.11278538813,0,0.2662303199285058,398354.7993145135,0.29154296017985637,1004032.7785714335,236704.432236745,58672.46592566419,193300789.31696188,224598.5820410127,optimal,nYrs_20210220_SWBPGP_iter00205,Jan29v1,CONUS,1,06,-1,-1,-1,39582.57252240144,71444.15432670142,0.0,0.0,1.0,0.0
1036,308302.8090182648,0,0.2674591808935575,414846.6405531315,0.29241424879911904,987897.7919546029,289227.5661441207,66054.77668462595,134724009.0932536,232953.92373452405,optimal,nYrs_20210220_SWBPGP_iter00063,Jan29v1,CONUS,1,07,-1,-1,-1,40480.03128647066,64877.86989189811,0.0,0.0,1.0,0.0
1052,308302.8090182648,0,0.2674591808935575,414846.6405531315,0.29241424879911904,987897.7919546029,289227.5661441207,66054.77668462595,134724009.0932536,232953.92373452405,optimal,nYrs_20210220_SWBPGP_iter00387,Jan29v1,CONUS,1,07,-1,-1,-1,40480.03128647066,64877.86989189811,0.0,0.0,1.0,0.0
1110,308302.8090182648,0,0.2674591808935575,414846.6405531315,0.29241424879911904,987897.7919546029,289227.5661441207,66054.77668462595,134724009.0932536,232953.92373452405,optimal,nYrs_20210220_SWBPGP_iter00075,Jan29v1,CONUS,1,07,-1,-1,-1,40480.03128647066,64877.86989189811,0.0,0.0,1.0,0.0
1130,308302.8090182648,0,0.2674591808935575,414846.6405531315,0.29241424879911904,987897.7919546029,289227.5661441207,66054.77668462595,134724009.0932536,232953.92373452405,optimal,nYrs_20210220_SWBPGP_iter00320,Jan29v1,CONUS,1,07,-1,-1,-1,40480.03128647066,64877.86989189811,0.0,0.0,1.0,0.0
